UF,ICM,ICP,ICC,ICC_Qtd,km,Qtd
AC,39,39,40,400,1180,1180
AL,15,5,39,390,1009,1008
AM,35,35,37,370,800,798
AP,23,14,44,440,577,579
CE,32,31,34,340,2260,2267
ES,36,27,57,570,133,134
MA,40,41,38,380,3470,3472
MS,30,29,32,320,3037,3057
MT,18,13,31,310,3756,3832
PA,31,24,47,470,2329,2336
PB,39,41,36,360,1557,1572
PE,20,12,38,380,3293,2358
PI,25,17,43,430,2783,2805
PR,29,27,34,340,1535,1546
RJ,30,28,34,340,689,695
RO,38,37,40,400,1816,1816
RR,28,24,37,370,1151,1153
SC,32,27,43,430,1558,1571
SE,47,43,56,560,358,358
SP,22,20,26,260,111,114
TO,21,15,37,370,1921,1920
