Rodovia,UF,ICC,ICM,ICP,km
BR-010,TO,45,24,16,341
BR-010,PA,56,32,21,355
BR-010,MA,35,34,33,345
BR-020,PI,47,21,11,330
BR-020,CE,33,28,26,433
BR-040,RJ,39,43,45,21
BR-060,MS,32,27,25,565
BR-070,MT,30,13,6,719
BR-101,SP,25,17,27,52
BR-101,SE,56,26,47,247
BR-101,RJ,34,28,34,238
BR-101,PE,41,34,23,1398
BR-101,PB,41,49,61,255
BR-101,AL,39,55,7,410
BR-104,PE,52,16,18,184
BR-104,PB,38,28,31,207
BR-104,AL,39,33,6,128
BR-110,PE,35,14,16,95
BR-110,PB,32,22,34,57
BR-110,AL,43,33,2,12
BR-116,PE,27,8,0,92
BR-116,PB,45,31,25,13
BR-116,CE,35,36,36,621
BR-122,CE,45,47,49,150
BR-135,PI,33,17,11,601
BR-135,MA,38,48,53,774
BR-153,TO,40,26,20,852
BR-153,SC,31,35,36,120
BR-153,PR,44,36,32,313
BR-155,PA,43,33,29,345
BR-156,AP,49,29,20,363
BR-158,SP,25,7,0,12
BR-158,SC,27,11,49,49
BR-158,PR,25,20,6,107
BR-158,PA,56,39,31,301
BR-158,MT,27,42,17,669
BR-158,MS,39,45,47,363
BR-163,SC,36,7,55,62
BR-163,PR,25,24,26,454
BR-163,PA,45,26,23,905
BR-163,MT,36,30,19,275
BR-163,MS,23,49,0,5
BR-174,RR,37,21,26,756
BR-174,RO,25,27,28,19
BR-174,MT,31,29,17,865
BR-174,AM,32,41,44,257
BR-210,RR,43,14,52,89
BR-210,AP,34,49,5,214
BR-222,PI,49,21,24,180
BR-222,MA,51,31,41,565
BR-222,CE,32,44,17,376
BR-226,TO,32,23,20,69
BR-226,PI,92,30,44,28
BR-226,MA,34,42,45,496
BR-226,CE,33,58,28,254
BR-230,TO,28,10,2,147
BR-230,PI,47,17,7,218
BR-230,PB,34,19,37,648
BR-230,PA,57,27,36,43
BR-230,MA,26,36,27,581
BR-230,CE,36,42,9,104
BR-230,AM,61,44,36,41
BR-232,PE,40,16,5,417
BR-235,TO,40,13,1,46
BR-235,SE,57,31,36,111
BR-235,PI,63,42,17,130
BR-242,TO,31,15,8,466
BR-242,MT,37,18,10,204
BR-259,ES,59,37,28,105
BR-262,SP,31,12,4,3
BR-262,MS,35,26,23,780
BR-267,MS,28,28,29,662
BR-272,PR,25,31,33,122
BR-277,PR,77,60,52,14
BR-280,SC,42,12,27,290
BR-280,PR,25,31,6,63
BR-282,SC,46,28,20,662
BR-304,CE,27,29,30,102
BR-307,AC,49,22,10,12
BR-308,PA,43,30,25,75
BR-316,PI,48,9,15,418
BR-316,PE,25,14,2,296
BR-316,PA,37,22,16,306
BR-316,MA,44,25,38,632
BR-316,AL,39,40,3,291
BR-317,AM,54,40,50,68
BR-317,AC,30,51,45,407
BR-319,RO,25,29,56,17
BR-319,AM,34,47,27,435
BR-343,PI,38,30,27,578
BR-356,RJ,36,19,12,184
BR-359,MS,30,26,24,212
BR-361,PB,36,33,31,113
BR-364,RO,40,17,37,1116
BR-364,MT,32,38,11,1024
BR-364,AC,45,39,36,761
BR-373,PR,25,13,8,99
BR-376,PR,45,39,42,75
BR-376,MS,32,43,41,182
BR-393,RJ,25,20,18,4
BR-393,ES,51,30,21,27
BR-401,RR,36,15,6,131
BR-402,PI,40,39,39,100
BR-402,MA,34,45,50,77
BR-402,CE,30,47,54,127
BR-403,CE,31,46,53,58
BR-404,PI,20,6,0,2
BR-404,CE,29,33,35,36
BR-405,PB,40,42,44,52
BR-407,PI,49,9,15,196
BR-407,PE,27,25,1,134
BR-408,PE,46,38,35,130
BR-412,PB,32,43,48,129
BR-416,AL,33,11,1,46
BR-419,MS,24,14,10,85
BR-421,RO,44,51,54,70
BR-423,PE,52,15,19,214
BR-423,AL,36,29,6,106
BR-424,PE,43,10,14,134
BR-424,AL,33,23,0,17
BR-425,RO,44,29,22,130
BR-426,PB,35,31,30,22
BR-427,PB,38,33,30,38
BR-428,PE,29,10,1,200
BR-429,RO,36,36,36,341
BR-432,RR,35,22,17,176
BR-434,PB,33,35,37,23
BR-435,RO,42,43,44,123
BR-436,MS,34,37,39,18
BR-459,SP,25,14,10,32
BR-463,MS,21,17,15,118
BR-465,RJ,42,44,45,26
BR-467,PR,25,30,32,20
BR-470,SC,44,34,30,359
BR-476,PR,51,44,42,187
BR-480,SC,28,18,14,16
BR-485,RJ,27,23,21,10
BR-487,PR,32,21,16,82
BR-487,MS,32,67,83,48
BR-488,SP,32,40,44,12
BR-493,RJ,32,31,31,177
BR-495,RJ,30,39,43,30
