UF,parent,value,ICM,ICP,ICC,Qtd_Rodovia
Origin,,,,,,
MT,Origin,3756,18,13,31,6
MA,Origin,3470,40,41,38,7
PE,Origin,3293,20,12,38,11
MS,Origin,3037,30,29,32,11
PI,Origin,2783,25,17,43,11
PA,Origin,2329,31,24,47,7
CE,Origin,2260,32,31,34,10
TO,Origin,1921,21,15,37,6
RO,Origin,1816,38,37,40,7
SC,Origin,1558,32,27,43,7
PB,Origin,1557,39,41,36,11
PR,Origin,1535,29,27,34,11
AC,Origin,1180,39,39,40,3
RR,Origin,1151,28,24,37,4
AL,Origin,1009,15,5,39,7
AM,Origin,800,35,35,37,4
RJ,Origin,689,30,28,34,8
AP,Origin,577,23,14,44,2
SE,Origin,358,47,43,56,2
ES,Origin,133,36,27,57,2
SP,Origin,111,22,20,26,5
